work_year,job_title,salary_in_usd,company_size
2024,Data Architect,123000,M
2024,Research Engineer,250000,M
2024,Research Engineer,150000,M
2024,Business Intelligence Analyst,140000,M
2024,Business Intelligence Analyst,100000,M
2024,Data Scientist,202500,M
2024,Data Scientist,135000,M
2024,Data Engineer,159550,M
2024,Data Engineer,113000,M
2024,Data Science,75000,M
2024,Data Science,55000,M
2024,Data Engineer,253900,M
2024,Data Engineer,145100,M
2024,Research Scientist,138000,M
2024,Research Scientist,86000,M
2024,Research Scientist,179000,M
2024,Research Scientist,112000,M
2024,Data Management Analyst,105000,M
2024,Data Management Analyst,80800,M
2024,Data Analyst,64500,M
2024,Data Analyst,46500,M
2024,Data Engineer,120750,M
2024,Data Engineer,85000,M
2024,Data Architect,180000,M
2024,Data Architect,144000,M
2024,Data Analyst,144606,M
2024,Data Analyst,128539,M
2024,BI Developer,79400,M
2024,BI Developer,55600,M
2024,Data Engineer,131700,M
2024,Data Engineer,84000,M
2024,Data Science,206000,M
2024,Data Science,106605,M
2024,Data Analyst,179000,M
2024,Data Analyst,112000,M
2024,Business Intelligence,120750,M
2024,Business Intelligence,85000,M
2024,Research Scientist,175000,M
2024,Research Scientist,118000,M
2024,Data Analyst,194000,M
2024,Data Analyst,122000,M
2024,Business Intelligence,142250,M
2024,Business Intelligence,100000,M
2024,Data Scientist,99000,M
2024,Data Scientist,87000,M
2024,Research Engineer,118400,M
2024,Research Engineer,64000,M
2024,Machine Learning Engineer,176000,M
2024,Machine Learning Engineer,72700,M
2024,Manager Data Management,36014,S
2024,Data Engineer,145000,M
2024,Data Engineer,120000,M
2024,Research Analyst,126225,M
2024,Research Analyst,61846,M
2024,Data Analyst,114200,M
2024,Data Analyst,92900,M
2024,Data Engineer,219700,M
2024,Data Engineer,137300,M
2024,Business Intelligence Engineer,108500,M
2024,Business Intelligence Engineer,78800,M
2024,Data Scientist,55328,M
2024,Data Scientist,42457,M
2024,Data Analyst,95000,M
2024,Data Analyst,85000,M
2024,Data Quality Manager,55555,M
2024,Data Quality Manager,44444,M
2024,Data Modeler,155000,M
2024,Data Modeler,140000,M
2024,Data Analytics Manager,128000,M
2024,Data Analytics Manager,81500,M
2024,Business Intelligence Analyst,95000,M
2024,Business Intelligence Analyst,68000,M
2024,Data Scientist,194500,M
2024,Data Scientist,125500,M
2024,Data Scientist,187000,M
2024,Data Scientist,153000,M
2024,Data Architect,146000,M
2024,Data Architect,128000,M
2024,Data Scientist,130500,M
2024,Data Scientist,96000,M
2024,Business Intelligence Analyst,140000,M
2024,Business Intelligence Analyst,105000,M
2024,Data Engineer,153000,M
2024,Data Engineer,122000,M
2024,Data Science Engineer,190000,M
2024,Data Science Engineer,126000,M
2024,Research Engineer,108100,M
